Codigo Empresa;Data Ref;Ano;Mes;Dia;Codigo Conta;Descricao Conta;Valor Trimestre Atual;Valor Exercicio Anterior;Precisao
007617;20210930;2021;09;30;1;Ativo Total;81.007.000;72.600.000;Mil
007617;20210930;2021;09;30;1.01;Ativo Circulante;7.626.000;8.023.000;Mil
007617;20210930;2021;09;30;1.01.01;Caixa e Equivalentes de Caixa;2.517.000;2.887.000;Mil
007617;20210930;2021;09;30;1.01.02;Aplicações Financeiras;1.412.000;1.473.000;Mil
007617;20210930;2021;09;30;1.01.02.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;1.412.000;1.473.000;Mil
007617;20210930;2021;09;30;1.01.02.01.01;Títulos para Negociação;0;0;Mil
007617;20210930;2021;09;30;1.01.02.01.02;Títulos Designados a Valor Justo;0;0;Mil
007617;20210930;2021;09;30;1.01.02.01.03;Ativos Financeiros Mensurados ao Valor Justo por meio do Resultado;1.412.000;1.473.000;Mil
007617;20210930;2021;09;30;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0;0;Mil
007617;20210930;2021;09;30;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0;0;Mil
007617;20210930;2021;09;30;1.01.03;Contas a Receber;1.942.000;2.190.000;Mil
007617;20210930;2021;09;30;1.01.03.01;Clientes;1.526.000;1.239.000;Mil
007617;20210930;2021;09;30;1.01.03.02;Outras Contas a Receber;416.000;951.000;Mil
007617;20210930;2021;09;30;1.01.03.02.01;Dividendos e Juros sobre o Capital Próprio;416.000;951.000;Mil
007617;20210930;2021;09;30;1.01.04;Estoques;1.251.000;925.000;Mil
007617;20210930;2021;09;30;1.01.05;Ativos Biológicos;0;0;Mil
007617;20210930;2021;09;30;1.01.06;Tributos a Recuperar;281.000;352.000;Mil
007617;20210930;2021;09;30;1.01.06.01;Tributos Correntes a Recuperar;281.000;352.000;Mil
007617;20210930;2021;09;30;1.01.06.01.01;Imposto de renda e Contribuição social a compensar;182.000;274.000;Mil
007617;20210930;2021;09;30;1.01.06.01.02;Outros tributos a compensar;99.000;78.000;Mil
007617;20210930;2021;09;30;1.01.07;Despesas Antecipadas;0;0;Mil
007617;20210930;2021;09;30;1.01.08;Outros Ativos Circulantes;223.000;196.000;Mil
007617;20210930;2021;09;30;1.01.08.01;Ativos Não-Correntes a Venda;0;0;Mil
007617;20210930;2021;09;30;1.01.08.02;Ativos de Operações Descontinuadas;0;0;Mil
007617;20210930;2021;09;30;1.01.08.03;Outros;0;0;Mil
007617;20210930;2021;09;30;1.02;Ativo Não Circulante;73.381.000;64.577.000;Mil
007617;20210930;2021;09;30;1.02.01;Ativo Realizável a Longo Prazo;3.273.000;2.851.000;Mil
007617;20210930;2021;09;30;1.02.01.01;Aplicações Financeiras Avaliadas a Valor Justo através do Resultado;6.000;0;Mil
007617;20210930;2021;09;30;1.02.01.01.01;Títulos Designados a Valor Justo;6.000;0;Mil
007617;20210930;2021;09;30;1.02.01.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0;0;Mil
007617;20210930;2021;09;30;1.02.01.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0;20.000;Mil
007617;20210930;2021;09;30;1.02.01.03.01;Debêntures;0;20.000;Mil
007617;20210930;2021;09;30;1.02.01.04;Contas a Receber;0;0;Mil
007617;20210930;2021;09;30;1.02.01.04.01;Clientes;0;0;Mil
007617;20210930;2021;09;30;1.02.01.04.02;Outras Contas a Receber;0;0;Mil
007617;20210930;2021;09;30;1.02.01.05;Estoques;0;0;Mil
007617;20210930;2021;09;30;1.02.01.06;Ativos Biológicos;1.177.000;1.143.000;Mil
007617;20210930;2021;09;30;1.02.01.07;Tributos Diferidos;726.000;958.000;Mil
007617;20210930;2021;09;30;1.02.01.07.01;Imposto de Renda e Contribuição Social Diferidos;726.000;958.000;Mil
007617;20210930;2021;09;30;1.02.01.08;Despesas Antecipadas;0;0;Mil
007617;20210930;2021;09;30;1.02.01.09;Créditos com Partes Relacionadas;0;0;Mil
007617;20210930;2021;09;30;1.02.01.09.01;Créditos com Coligadas;0;0;Mil
