Codigo Empresa;Data Ref;Ano;Mes;Dia;Codigo Conta;Descricao Conta;Valor Trimestre Atual;Valor Exercicio Anterior;Precisao
007617;20210930;2021;09;30;2;Passivo Total;70.712.000;62.985.000;Mil
007617;20210930;2021;09;30;2.01;Passivo Circulante;2.105.000;1.342.000;Mil
007617;20210930;2021;09;30;2.01.01;Obrigações Sociais e Trabalhistas;35.000;47.000;Mil
007617;20210930;2021;09;30;2.01.01.01;Obrigações Sociais;0;0;Mil
007617;20210930;2021;09;30;2.01.01.02;Obrigações Trabalhistas;35.000;47.000;Mil
007617;20210930;2021;09;30;2.01.02;Fornecedores;18.000;27.000;Mil
007617;20210930;2021;09;30;2.01.02.01;Fornecedores Nacionais;18.000;27.000;Mil
007617;20210930;2021;09;30;2.01.02.02;Fornecedores Estrangeiros;0;0;Mil
007617;20210930;2021;09;30;2.01.03;Obrigações Fiscais;0;29.000;Mil
007617;20210930;2021;09;30;2.01.03.01;Obrigações Fiscais Federais;0;29.000;Mil
007617;20210930;2021;09;30;2.01.03.01.01;Imposto de Renda e Contribuição Social a Pagar;0;0;Mil
007617;20210930;2021;09;30;2.01.03.01.02;Outras Obrigações Fiscais;0;29.000;Mil
007617;20210930;2021;09;30;2.01.03.02;Obrigações Fiscais Estaduais;0;0;Mil
007617;20210930;2021;09;30;2.01.03.03;Obrigações Fiscais Municipais;0;0;Mil
007617;20210930;2021;09;30;2.01.04;Empréstimos e Financiamentos;488.000;2.000;Mil
007617;20210930;2021;09;30;2.01.04.01;Empréstimos e Financiamentos;0;0;Mil
007617;20210930;2021;09;30;2.01.04.01.01;Em Moeda Nacional;0;0;Mil
007617;20210930;2021;09;30;2.01.04.01.02;Em Moeda Estrangeira;0;0;Mil
007617;20210930;2021;09;30;2.01.04.02;Debêntures;488.000;2.000;Mil
007617;20210930;2021;09;30;2.01.04.03;Financiamento por Arrendamento;0;0;Mil
007617;20210930;2021;09;30;2.01.05;Outras Obrigações;1.564.000;1.237.000;Mil
